City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Rosetta,EG,78.13,clear sky,31.4044,30.4164,Green Valley
7,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
10,Los Llanos De Aridane,ES,82.15,clear sky,28.6585,-17.9182,Valle Aridane
13,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
14,Iquitos,PE,80.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
16,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Green leaf
17,Naliya,IN,81.77,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
19,Torbay,CA,77.77,broken clouds,47.6666,-52.7314,Gallows Cove
20,Kudahuvadhoo,MV,82.47,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
23,Mogadishu,SO,75.83,light rain,2.0371,45.3438,Hotel Juba
26,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
29,Carutapera,BR,79.95,overcast clouds,-1.195,-46.02,Lidera
32,Sao Filipe,CV,78.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
35,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
36,Jamestown,US,78.94,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Itarema,BR,82.74,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Mercedes,AR,78.04,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
41,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
45,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
46,Nautanwa,IN,82.4,moderate rain,27.4333,83.4167,Plot: S S Srivastava
47,Kalmunai,LK,80.15,overcast clouds,7.4167,81.8167,VS Villa
51,Westport,US,83.71,clear sky,41.1415,-73.3579,The Westport Inn
55,Ibra,OM,80.51,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
57,Najran,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
