City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gamba,GA,-2.65,10.0,70.86,86,56,7.02,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,20,18.41,few clouds
2,Ushuaia,AR,-54.8,-68.3,38.82,60,20,9.22,few clouds
3,Rosetta,EG,31.4044,30.4164,78.13,79,0,8.99,clear sky
4,Kotka,FI,60.4664,26.9458,65.46,92,100,16.98,overcast clouds
5,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,40,9.22,light rain
6,Cape Town,ZA,-33.9258,18.4232,58.12,81,20,8.05,few clouds
7,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,10.36,overcast clouds
8,East London,ZA,-33.0153,27.9116,59.94,82,0,8.05,clear sky
9,Hermanus,ZA,-34.4187,19.2345,52.81,88,100,6.85,overcast clouds
10,Los Llanos De Aridane,ES,28.6585,-17.9182,82.15,35,0,17.27,clear sky
11,Mahebourg,MU,-20.4081,57.7,69.26,94,40,9.22,scattered clouds
12,Tasiilaq,GL,65.6145,-37.6368,37.81,92,100,1.79,overcast clouds
13,Vila Velha,BR,-20.3297,-40.2925,78.75,80,20,10.36,few clouds
14,Iquitos,PE,-3.7481,-73.2472,80.64,94,40,4.61,scattered clouds
15,Verbita,RO,44.3,23.1667,80.6,26,0,1.3,clear sky
16,Kavaratti,IN,10.5669,72.642,80.82,78,100,16.6,overcast clouds
17,Naliya,IN,23.2667,68.8333,81.77,82,100,13.0,overcast clouds
18,Saint-Augustin,CA,51.226,-58.6502,69.35,60,94,17.31,overcast clouds
19,Torbay,CA,47.6666,-52.7314,77.77,76,75,18.41,broken clouds
20,Kudahuvadhoo,MV,2.6708,72.8944,82.47,76,41,18.75,scattered clouds
21,Verkhnetulomskiy,RU,68.6073,31.7962,62.73,97,100,5.7,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,44.15,61,53,3.2,broken clouds
23,Mogadishu,SO,2.0371,45.3438,75.83,84,33,20.87,light rain
24,Bredasdorp,ZA,-34.5322,20.0403,51.3,90,100,6.22,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,10,4.61,clear sky
26,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,light intensity drizzle
27,Mananjary,MG,-21.2167,48.3333,65.48,85,0,2.28,clear sky
28,Arkhangelsk,RU,64.5401,40.5433,68.11,64,20,6.71,few clouds
29,Carutapera,BR,-1.195,-46.02,79.95,82,92,9.15,overcast clouds
30,Pangnirtung,CA,66.1451,-65.7125,42.8,87,75,5.75,broken clouds
31,Orangeburg,US,33.4918,-80.8557,94.93,58,0,14.97,clear sky
32,Sao Filipe,CV,14.8961,-24.4956,78.39,81,99,4.72,overcast clouds
33,Chapais,CA,49.7834,-74.8492,60.58,88,99,12.08,overcast clouds
34,Souillac,MU,-20.5167,57.5167,68.38,94,40,9.22,scattered clouds
35,Maceio,BR,-9.6658,-35.7353,78.24,78,75,11.5,broken clouds
36,Jamestown,US,42.097,-79.2353,78.94,57,40,4.0,scattered clouds
37,Bongandanga,CD,1.5,21.05,71.46,97,100,2.39,overcast clouds
38,Itarema,BR,-2.9248,-39.9167,82.74,59,20,15.57,few clouds
39,Mercedes,AR,-34.6515,-59.4307,78.04,70,100,7.31,overcast clouds
40,Pizhma,RU,57.8642,47.1171,61.5,86,19,4.63,few clouds
41,Ribeira Grande,PT,38.5167,-28.7,77.4,83,20,10.36,few clouds
42,Marathon,US,44.9,-89.7668,78.33,55,0,6.91,clear sky
43,Upernavik,GL,72.7868,-56.1549,38.53,89,100,11.48,overcast clouds
44,Busselton,AU,-33.65,115.3333,49.42,83,0,6.62,clear sky
