City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-05-08 10:20:11,77.484,-69.3632,20.14,75,100,4.94
1,Mufumbwe,ZM,2022-05-08 10:20:11,-13.6833,24.8,81.82,42,27,4.7
2,Gravdal,NO,2022-05-08 10:20:12,68.1214,13.5031,38.17,62,100,21.54
3,Otavi,NA,2022-05-08 10:20:13,-19.65,17.3333,77.88,19,0,6.42
4,Punta Arenas,CL,2022-05-08 10:15:28,-53.15,-70.9167,44.11,81,40,26.46
5,Guaranda,EC,2022-05-08 10:20:14,-1.6,-79.0,55.06,83,66,3.8
6,Georgetown,MY,2022-05-08 10:17:33,5.4112,100.3354,89.53,72,40,10.36
7,Sioux Lookout,CA,2022-05-08 10:20:15,50.1001,-91.917,44.67,49,75,12.66
8,Carupano,VE,2022-05-08 10:20:15,10.6678,-63.2585,75.72,91,98,6.15
9,Hermanus,ZA,2022-05-08 10:19:27,-34.4187,19.2345,65.8,64,100,6.78
10,Beloha,MG,2022-05-08 10:20:16,-25.1667,45.05,86.2,43,1,5.68
11,Vila Franca Do Campo,PT,2022-05-08 10:17:48,37.7167,-25.4333,67.19,84,88,4.21
12,Ushuaia,AR,2022-05-08 10:17:30,-54.8,-68.3,44.26,65,75,29.93
13,Chuy,UY,2022-05-08 10:20:18,-33.6971,-53.4616,52.84,92,25,5.41
14,Ribeira Grande,PT,2022-05-08 10:17:30,38.5167,-28.7,63.0,72,20,5.75
15,Arraial Do Cabo,BR,2022-05-08 10:17:47,-22.9661,-42.0278,71.46,83,40,4.61
16,Cape Town,ZA,2022-05-08 10:18:55,-33.9258,18.4232,69.12,60,0,4.61
17,Bredasdorp,ZA,2022-05-08 10:20:19,-34.5322,20.0403,62.74,61,79,9.64
18,Hithadhoo,MV,2022-05-08 10:17:29,-0.6,73.0833,84.45,76,64,19.15
19,Saint George,US,2022-05-08 10:20:02,37.1041,-113.5841,70.39,14,0,8.05
20,Manali,IN,2022-05-08 10:20:21,13.1667,80.2667,93.29,80,100,15.88
21,Caala,AO,2022-05-08 10:20:22,-12.8525,15.5606,74.23,40,58,4.79
22,Purpe,RU,2022-05-08 10:20:22,64.4803,76.6897,32.56,100,51,11.59
23,Muzhi,RU,2022-05-08 10:20:23,65.3667,64.6667,41.54,100,100,7.96
24,Jiwani,PK,2022-05-08 10:20:24,25.05,61.7417,85.57,72,0,13.31
25,Saint-Denis,FR,2022-05-08 10:20:24,48.9167,2.3333,63.5,78,100,11.5
26,Busselton,AU,2022-05-08 10:17:50,-33.65,115.3333,62.62,79,16,7.61
27,Niksic,ME,2022-05-08 10:18:55,42.7731,18.9445,66.67,65,75,3.47
28,Carauari,BR,2022-05-08 10:20:26,-4.8828,-66.8958,71.42,100,100,1.66
29,Port-Gentil,GA,2022-05-08 10:20:27,-0.7193,8.7815,85.96,70,40,9.22
30,Dingle,PH,2022-05-08 10:20:27,10.9995,122.6711,83.03,74,56,7.92
31,Jamestown,US,2022-05-08 10:20:28,42.097,-79.2353,44.24,68,0,10.36
32,San Andres,CO,2022-05-08 10:20:28,12.5847,-81.7006,80.62,89,75,6.91
33,Tahta,EG,2022-05-08 10:20:29,26.7693,31.5021,95.88,10,14,2.68
34,Rodrigues Alves,BR,2022-05-08 10:20:30,-7.738,-72.6509,68.36,95,6,1.48
35,Manaure,CO,2022-05-08 10:20:30,11.7751,-72.4445,79.52,82,78,11.01
36,Bastia,FR,2022-05-08 10:20:31,42.6667,9.3333,69.6,65,0,9.22
37,Mahebourg,MU,2022-05-08 10:20:32,-20.4081,57.7,83.25,74,40,12.66
38,Tivaouane,SN,2022-05-08 10:20:32,14.9515,-16.8129,79.14,35,11,15.75
39,Keetmanshoop,NA,2022-05-08 10:20:33,-26.5833,18.1333,58.12,47,0,3.44
40,El Alto,PE,2022-05-08 10:20:34,-4.2714,-81.2147,67.5,78,51,13.35
41,Hamilton,US,2022-05-08 10:20:34,39.1834,-84.5333,49.05,90,0,10.36
42,Ponta Do Sol,PT,2022-05-08 10:20:35,32.6667,-17.1,72.72,67,56,3.71
43,Bambous Virieux,MU,2022-05-08 10:20:36,-20.3428,57.7575,83.21,74,40,12.66
44,Touros,BR,2022-05-08 10:20:36,-5.1989,-35.4608,76.46,90,95,10.54
45,Ilulissat,GL,2022-05-08 10:17:31,69.2167,-51.1,28.42,54,0,0.0
46,Luderitz,NA,2022-05-08 10:17:46,-26.6481,15.1594,69.49,32,0,7.94
47,Port Elizabeth,ZA,2022-05-08 10:17:31,-33.918,25.5701,67.1,65,75,14.97
48,Misratah,LY,2022-05-08 10:21:38,32.3754,15.0925,69.33,62,3,14.12
49,Puerto Leguizamo,CO,2022-05-08 10:21:39,-0.1934,-74.7819,68.95,98,89,0.6
50,Ostrovnoy,RU,2022-05-08 10:21:39,68.0531,39.5131,35.13,96,50,19.66
51,Augusto Correa,BR,2022-05-08 10:21:40,-1.0217,-46.635,74.16,98,100,0.92
52,Iqaluit,CA,2022-05-08 10:21:41,63.7506,-68.5145,17.33,79,20,3.44
53,Sechura,PE,2022-05-08 10:21:41,-5.5569,-80.8222,65.79,85,50,10.09
54,Mar Del Plata,AR,2022-05-08 10:20:59,-38.0023,-57.5575,54.95,93,33,11.99
55,Omboue,GA,2022-05-08 10:17:40,-1.5746,9.2618,85.98,67,33,3.87
56,Maragogi,BR,2022-05-08 10:21:43,-9.0122,-35.2225,76.93,84,74,6.51
57,Meulaboh,ID,2022-05-08 10:21:43,4.1363,96.1285,83.19,75,98,3.29
58,Hambantota,LK,2022-05-08 10:21:44,6.1241,81.1185,89.33,64,93,22.93
59,Pisco,PE,2022-05-08 10:21:45,-13.7,-76.2167,61.02,88,30,4.61
60,Adrar,MR,2022-05-08 10:17:52,20.5022,-10.0711,96.35,8,4,14.34
61,Namibe,AO,2022-05-08 10:17:36,-15.1961,12.1522,79.43,54,0,6.91
62,Aripuana,BR,2022-05-08 10:21:46,-9.1667,-60.6333,70.59,99,81,0.25
63,Nyuksenitsa,RU,2022-05-08 10:21:46,60.4128,44.2397,61.68,56,75,15.41
64,Upernavik,GL,2022-05-08 10:21:47,72.7868,-56.1549,8.73,77,38,5.08
65,Ancud,CL,2022-05-08 10:17:45,-41.8697,-73.8203,52.52,93,96,8.03
66,Bektemir,UZ,2022-05-08 10:21:48,41.2097,69.3342,93.25,21,0,9.22
67,Porbandar,IN,2022-05-08 10:16:53,21.6422,69.6093,90.52,53,0,17.76
68,Vestmanna,FO,2022-05-08 10:21:49,62.1564,-7.1664,47.32,93,100,14.97
69,Vardo,NO,2022-05-08 10:21:50,70.3705,31.1107,33.78,64,75,18.41
70,East London,ZA,2022-05-08 10:17:53,-33.0153,27.9116,67.14,68,20,16.11
71,Necochea,AR,2022-05-08 10:16:52,-38.5473,-58.7368,58.8,80,24,14.72
72,Victoria,HK,2022-05-08 10:18:28,22.2855,114.1577,80.65,79,100,7.0
73,Tocopilla,CL,2022-05-08 10:21:52,-22.092,-70.1979,61.3,81,43,4.03
74,Los Llanos De Aridane,ES,2022-05-08 10:21:53,28.6585,-17.9182,69.12,77,40,16.11
75,Abhar,IR,2022-05-08 10:21:53,36.1468,49.218,63.88,22,2,15.5
76,Saint-Philippe,RE,2022-05-08 10:21:54,-21.3585,55.7679,80.19,80,52,9.93
